<NUMBER OF ZONES> 74
<TOTAL OD FLOW> 0.0
<END OF METADATA>


Origin  1  
1 :      0.0;    2 :      88.411859;    
Origin  37  
37 :      0.0;    1 :      0.000000;    
2 :      0.000000;    3 :      0.000000;    4 :      0.000000;    
5 :      0.000000;    6 :      0.000000;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      0.000000;    
11 :      0.000000;    12 :      0.000000;    13 :      0.000000;    
14 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      12.063244;    21 :      127.189011;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      0.000000;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      0.000000;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      0.000000;    58 :      8.257207;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  38  
38 :      0.0;    1 :      0.000000;    2 :      0.000000;    3 :      0.000000;    
4 :      0.000000;    5 :      0.000000;    6 :      0.000000;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      0.000000;    11 :      0.000000;    12 :      0.000000;    
13 :      0.000000;    14 :      0.000000;    15 :      0.000000;    
16 :      0.000000;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      0.000000;    21 :      0.000000;    
22 :      0.000000;    23 :      0.000000;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      0.000000;    30 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      0.000000;    49 :      0.000000;    
50 :      0.000000;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      0.000000;    55 :      0.000000;    
56 :      0.000000;    57 :      0.000000;    58 :      0.000000;    
59 :      0.000000;    60 :      0.000000;    61 :      0.000000;    
62 :      0.000000;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  39  
39 :      0.0;    1 :      0.000000;    2 :      0.000000;    
3 :      0.000000;    4 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      0.000000;    11 :      0.000000;    
12 :      0.000000;    13 :      0.000000;    14 :      0.000000;    
15 :      0.000000;    16 :      0.000000;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      0.000000;    
21 :      0.000000;    22 :      0.000000;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      0.000000;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      0.000000;    38 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      0.000000;    
43 :      0.000000;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      0.000000;    
49 :      0.000000;    50 :      0.000000;    51 :      0.000000;    
52 :      0.000000;    53 :      0.000000;    54 :      0.000000;    
55 :      0.000000;    56 :      0.000000;    57 :      0.000000;    
58 :      0.000000;    59 :      0.000000;    60 :      0.000000;    
61 :      0.000000;    62 :      0.000000;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  40  
40 :      0.0;    1 :      0.000000;    
2 :      0.000000;    3 :      0.000000;    4 :      0.000000;    
5 :      0.000000;    6 :      0.000000;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      0.000000;    
11 :      0.000000;    12 :      0.000000;    13 :      0.000000;    
14 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      0.000000;    21 :      0.000000;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      0.000000;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      0.000000;    37 :      0.000000;    
38 :      0.000000;    39 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      0.000000;    58 :      0.000000;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  41  
41 :      0.0;    1 :      0.000000;    2 :      0.000000;    3 :      0.000000;    
4 :      0.000000;    5 :      0.000000;    6 :      0.000000;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      0.000000;    11 :      0.000000;    12 :      0.000000;    
13 :      0.000000;    14 :      0.000000;    15 :      0.000000;    
16 :      0.000000;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      0.000000;    21 :      0.000000;    
22 :      0.000000;    23 :      0.000000;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      0.000000;    30 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      0.000000;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      0.000000;    49 :      0.000000;    
50 :      0.000000;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      0.000000;    55 :      0.000000;    
56 :      0.000000;    57 :      0.000000;    58 :      0.000000;    
59 :      0.000000;    60 :      0.000000;    61 :      0.000000;    
62 :      0.000000;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  42  
42 :      0.0;    1 :      1.594929;    2 :      1.590362;    
3 :      1.685237;    4 :      0.000000;    5 :      0.000000;    
6 :      1.741427;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      34.628948;    11 :      0.000000;    
12 :      0.000000;    13 :      1.717662;    14 :      0.000000;    
15 :      0.000000;    16 :      1.672861;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      11.958733;    
21 :      136.258133;    22 :      1.749966;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      95.974769;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      9.829597;    
36 :      10.489012;    37 :      1018.458928;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
43 :      3.454531;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      368.694092;    
49 :      0.874677;    50 :      3.992039;    51 :      0.000000;    
52 :      4.010577;    53 :      0.000000;    54 :      182.275313;    
55 :      0.000000;    56 :      0.000000;    57 :      1.180868;    
58 :      1.247842;    59 :      1.340384;    60 :      0.000000;    
61 :      1.213859;    62 :      0.327670;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  43  
43 :      0.0;    1 :      0.000000;    
2 :      0.000000;    3 :      0.000000;    4 :      0.000000;    
5 :      0.000000;    6 :      0.000000;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      0.000000;    
11 :      0.000000;    12 :      0.000000;    13 :      0.000000;    
14 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      0.000000;    21 :      0.000000;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      68.206074;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      76.089329;    36 :      132.849178;    37 :      0.000000;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      1.327864;    58 :      1.427176;    59 :      1.563118;    
60 :      0.000000;    61 :      1.371833;    62 :      0.338949;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  44  
44 :      0.0;    1 :      0.000000;    2 :      0.000000;    3 :      0.000000;    
4 :      0.000000;    5 :      0.000000;    6 :      0.000000;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      0.000000;    11 :      0.000000;    12 :      0.000000;    
13 :      0.000000;    14 :      0.000000;    15 :      0.000000;    
16 :      0.000000;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      0.000000;    21 :      0.000000;    
22 :      0.000000;    23 :      0.000000;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      0.000000;    30 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      0.000000;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      0.000000;    
43 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      0.000000;    49 :      0.000000;    
50 :      0.000000;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      0.000000;    55 :      0.000000;    
56 :      0.000000;    57 :      0.000000;    58 :      0.000000;    
59 :      0.000000;    60 :      0.000000;    61 :      0.000000;    
62 :      0.000000;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  45  
45 :      0.0;    1 :      0.000000;    2 :      0.000000;    
3 :      0.000000;    4 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      0.000000;    11 :      0.000000;    
12 :      0.000000;    13 :      0.000000;    14 :      0.000000;    
15 :      0.000000;    16 :      0.000000;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      0.000000;    
21 :      0.000000;    22 :      0.000000;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      0.000000;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      0.000000;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      0.000000;    
49 :      0.000000;    50 :      0.000000;    51 :      0.000000;    
52 :      0.000000;    53 :      0.000000;    54 :      0.000000;    
55 :      0.000000;    56 :      0.000000;    57 :      0.000000;    
58 :      0.000000;    59 :      0.000000;    60 :      0.000000;    
61 :      0.000000;    62 :      0.000000;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  46  
46 :      0.0;    1 :      0.000000;    
2 :      0.000000;    3 :      0.000000;    4 :      0.000000;    
5 :      0.000000;    6 :      0.000000;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      0.000000;    
11 :      0.000000;    12 :      0.000000;    13 :      0.000000;    
14 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      0.000000;    21 :      0.000000;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      0.000000;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      0.000000;    37 :      0.000000;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      0.000000;    58 :      0.000000;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  47  
47 :      0.0;    1 :      0.000000;    2 :      0.000000;    3 :      0.000000;    
4 :      0.000000;    5 :      0.000000;    6 :      0.000000;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      0.000000;    11 :      0.000000;    12 :      0.000000;    
13 :      0.000000;    14 :      0.000000;    15 :      0.000000;    
16 :      0.000000;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      0.000000;    21 :      0.000000;    
22 :      0.000000;    23 :      0.000000;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      0.000000;    30 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      0.000000;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      0.000000;    
43 :      0.000000;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    48 :      0.000000;    49 :      0.000000;    
50 :      0.000000;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      0.000000;    55 :      0.000000;    
56 :      0.000000;    57 :      0.000000;    58 :      0.000000;    
59 :      0.000000;    60 :      0.000000;    61 :      0.000000;    
62 :      0.000000;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  48  
48 :      0.0;    1 :      1.544148;    2 :      1.544006;    
3 :      1.631405;    4 :      0.000000;    5 :      0.000000;    
6 :      1.683066;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      1.678944;    11 :      0.000000;    
12 :      0.000000;    13 :      1.662243;    14 :      0.000000;    
15 :      0.000000;    16 :      1.620628;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      1.483730;    
21 :      1.683634;    22 :      1.691496;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      32.891409;    
30 :      36.224723;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      38.349645;    
36 :      49.447635;    37 :      185.477823;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      290.540011;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
49 :      1.122424;    50 :      229.861669;    51 :      0.000000;    
52 :      185.299903;    53 :      259.704720;    54 :      236.528100;    
55 :      4.902188;    56 :      0.000000;    57 :      1.304288;    
58 :      1.383939;    59 :      1.514809;    60 :      0.000000;    
61 :      1.338190;    62 :      0.336161;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  49  
49 :      0.0;    1 :      0.000000;    
2 :      0.000000;    3 :      0.000000;    4 :      0.000000;    
5 :      0.000000;    6 :      0.000000;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      0.000000;    
11 :      0.000000;    12 :      0.000000;    13 :      0.000000;    
14 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      0.000000;    21 :      0.000000;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      0.000000;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      0.000000;    37 :      0.000000;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      0.000000;    50 :      26.679065;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      0.000000;    58 :      0.000000;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  50  
50 :      0.0;    1 :      4.064925;    2 :      4.018713;    3 :      4.663427;    
4 :      0.000000;    5 :      0.000000;    6 :      5.098808;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      5.103601;    11 :      0.000000;    12 :      0.000000;    
13 :      4.784521;    14 :      0.000000;    15 :      0.000000;    
16 :      4.700368;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      3.643313;    21 :      5.131963;    
22 :      5.198895;    23 :      3.814395;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      33.267643;    30 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      66.239690;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      0.000000;    
43 :      0.000000;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      119.049903;    
49 :      1.588184;    51 :      0.000000;    52 :      351.800305;    
53 :      149.500746;    54 :      24.253344;    55 :      0.000000;    
56 :      0.000000;    57 :      75.619157;    58 :      3.194474;    
59 :      0.000000;    60 :      0.000000;    61 :      0.000000;    
62 :      0.000000;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  51  
51 :      0.0;    1 :      0.000000;    2 :      0.000000;    
3 :      0.000000;    4 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      0.000000;    11 :      0.000000;    
12 :      0.000000;    13 :      0.000000;    14 :      0.000000;    
15 :      0.000000;    16 :      0.000000;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      0.000000;    
21 :      0.000000;    22 :      0.000000;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      0.000000;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      0.000000;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
52 :      0.000000;    53 :      0.000000;    54 :      0.000000;    
55 :      0.000000;    56 :      0.000000;    57 :      0.000000;    
58 :      0.000000;    59 :      0.000000;    60 :      0.000000;    
61 :      0.000000;    62 :      0.000000;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  52  
52 :      0.0;    1 :      1.547619;    
2 :      1.542784;    3 :      1.635978;    4 :      0.000000;    
5 :      0.000000;    6 :      1.673782;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      1.672226;    
11 :      0.000000;    12 :      0.000000;    13 :      1.653758;    
14 :      0.000000;    15 :      0.000000;    16 :      1.620920;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      1.476935;    21 :      1.672501;    22 :      1.682344;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      30.403225;    30 :      3.405904;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      3.422203;    36 :      3.494749;    37 :      94.014752;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      278.134230;    49 :      1.119137;    
50 :      262.663258;    51 :      0.000000;    53 :      244.614546;    
54 :      25.552807;    55 :      2.564173;    56 :      0.000000;    
57 :      0.943369;    58 :      0.981744;    59 :      1.026658;    
60 :      0.000000;    61 :      0.959945;    62 :      0.298880;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  53  
53 :      0.0;    1 :      1.541151;    2 :      1.539137;    3 :      1.629797;    
4 :      0.000000;    5 :      0.000000;    6 :      1.671240;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      1.667989;    11 :      0.000000;    12 :      0.000000;    
13 :      1.649282;    14 :      0.000000;    15 :      0.000000;    
16 :      1.608058;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      1.475122;    21 :      1.670740;    
22 :      1.678499;    23 :      0.000000;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      30.144929;    30 :      3.469400;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      3.484457;    36 :      3.559413;    
37 :      92.097272;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      22.899811;    
43 :      3.638281;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      226.250905;    
49 :      1.119030;    50 :      69.403288;    51 :      0.000000;    
52 :      67.459791;    54 :      28.380306;    55 :      0.000000;    
56 :      0.000000;    57 :      0.939471;    58 :      0.981255;    
59 :      1.030757;    60 :      0.000000;    61 :      0.956789;    
62 :      0.299406;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  54  
54 :      0.0;    1 :      1.602421;    2 :      8.128393;    
3 :      10.031329;    4 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      8.306437;    11 :      0.000000;    
12 :      0.000000;    13 :      1.711564;    14 :      0.000000;    
15 :      0.000000;    16 :      1.659280;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      13.006101;    
21 :      1.884592;    22 :      1.729599;    23 :      8.365638;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      60.478051;    
30 :      9.450875;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      4.022694;    37 :      169.677337;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      144.603121;    43 :      4.132481;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      164.238050;    49 :      1.115978;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
55 :      0.000000;    56 :      0.000000;    57 :      5.849522;    
58 :      7.739299;    59 :      13.615095;    60 :      0.000000;    
61 :      6.577337;    62 :      0.502659;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      197.558995;    68 :      0.000000;    69 :      248.176452;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  55  
